Item #,Type,Fill_in_Statements,Accurate - Statement,Validity,Inaccurate - Statement,Validity,,,
1,Easy,Dried grapes are called ____.,Dried grapes are called raisins.,TRUE,Dried grapes called are prunes.,FALSE,,,
2,Easy,Horse-like animals with black and white stripes are called ____.,Horse-like animals with black and white stripes are called zebras.,TRUE,Horse-like animals with black and white stripes are called okapis.,FALSE,,,"This is the validity of the statements at exposure, counterbalanced between 2 groups. This ensures that all participants/LLMs get randomly assigned either true or false versions of each fact. "
3,Easy,The long sleep some animals go through during the entire winter is called ____.,The long sleep some animals go through during the entire winter is called hibernation.,TRUE,The long sleep some animals go through during the entire winter is called migration.,FALSE,,,Exposure Groups KEY 
4,Easy,The rubber object that is hit back and forth by hockey players is a ____.,The rubber object that is hit back and forth by hockey players is a puck.,TRUE,The rubber object that is hit back and forth by hockey players is a discus.,FALSE,,, Validity = case_when(
5,Easy,The remains of plants and animals that are found in stone are called ____.,The remains of plants and animals that are found in stone are called fossils.,TRUE,The remains of plants and animals that are found in stone are called imprints.,FALSE,,,"      Exposure == 0 & as.numeric(str_extract(Item, ""\\d+"")) %in% 1:20  ~ ""Accurate"","
6,Easy,"The author who wrote ""Romeo & Juliet is ____.","The author who wrote ""Romeo & Juliet is William Shakespeare.",TRUE,"The author who wrote ""Romeo & Juliet is Ben Jonson.",FALSE,,,"      Exposure == 0 & as.numeric(str_extract(Item, ""\\d+"")) %in% 21:40 ~ ""Inaccurate"","
7,Easy,Precious red gems are ____.,Precious red gems are rubies.,TRUE,Precious red gems are amethysts.,FALSE,,,"      Exposure == 0 & as.numeric(str_extract(Item, ""\\d+"")) %in% 41:60 ~ ""Accurate"","
8,Easy,The severe headache that returns periodically and often is accompanied by nausea is called a ____.,The severe headache that returns periodically and often is accompanied by nausea is called a migraine.,TRUE,The severe headache that returns periodically and often is accompanied by nausea is called a head cold.,FALSE,,,"      Exposure == 0 & as.numeric(str_extract(Item, ""\\d+"")) %in% 61:80 ~ ""Inaccurate"","
9,Easy,The comic strip character who eats spinach to increase his strength is named ____.,The comic strip character who eats spinach to increase his strength is named Popeye.,TRUE,The comic strip character who eats spinach to increase his strength is named Hulk.,FALSE,,,"      Exposure == 1 & as.numeric(str_extract(Item, ""\\d+"")) %in% 1:20  ~ ""Inaccurate"","
10,Easy,The animal that runs the fastest is the ____.,The animal that runs the fastest is the cheetah.,TRUE,The animal that runs the fastest is the horse.,FALSE,,,"      Exposure == 1 & as.numeric(str_extract(Item, ""\\d+"")) %in% 21:40 ~ ""Accurate"","
11,Easy,The process by which plants make their food is ____.,The process by which plants make their food is photosynthesis.,TRUE,The process by which plants make their food is mitosis.,FALSE,,,"      Exposure == 1 & as.numeric(str_extract(Item, ""\\d+"")) %in% 41:60 ~ ""Inaccurate"","
12,Easy,"Dorothy's dog in ""The Wizard of Oz"" was named ____.","Dorthy's dog in ""The Wizard of Oz"" was named Toto.",TRUE,"Dorthy's dog in ""The Wizard of Oz"" was named Fido.",FALSE,,,"      Exposure == 1 & as.numeric(str_extract(Item, ""\\d+"")) %in% 61:80 ~ ""Accurate"","
13,Easy,The molten rock that runs down the side of a volcano during an eruption is called ____.,The molten rock that runs down the side of a volcano during an eruption is called lava.,TRUE,The molten rock that runs down the side of a volcano during an eruption is called ash.,FALSE,,,      TRUE ~ NA_character_  # Default to NA if unexpected values appear ) ) 
14,Easy,The supposedly unsinkable ship that sunk on its maiden voyage in 1912 was the ____.,The supposedly unsinkable ship that sunk on its maiden voyage in 1912 was the Titanic.,TRUE,The supposedly unsinkable ship that sunk on its maiden voyage in 1912 was the Lusitania.,FALSE,,,
15,Easy,"The sport that used the terms ""gutter"" and ""alley"" is ____.","The sport that used the terms ""gutter"" and ""alley"" is bowling.",TRUE,"The sport that used the terms ""gutter"" and ""alley"" is skee-ball.",FALSE,,,
16,Easy,The giant ocean wave caused by an earthquake is a ____.,The giant ocean wave caused by an earthquake is a tsunami.,TRUE,The giant ocean wave caused by an earthquake is a flood.,FALSE,,,
17,Easy,Hitting a volleyball down hard into the opponent's court is called a ____.,Hitting a volleyball down hard into the opponent's court is a called a spike.,TRUE,Hitting a volleyball down hard into the opponent's court is called a bump.,FALSE,,,
18,Easy,"The villainous captain in the story ""Peter Pan"" is named ____.","The villainous captain in the story ""Peter Pan"" is named Hook.",TRUE,"The villainous captain in the story ""Peter Pan"" is named Blackbeard.",FALSE,,,
19,Easy,Tarzan's girlfriend was named ____.,Tarzan's girlfriend was named Jane.,TRUE,Tarzan's girlfriend was named June.,FALSE,,,
20,Easy,The brothers who flew the first airplane at Kitty Hawk were the ____.,The brothers who flew the first airplane at Kitty Hawk were the Wrights.,TRUE,The brothers who flew the first airplane at Kitty Hawk were the Orvilles.,FALSE,,,
21,Easy,Medical doctors who specialize in cutting the body are ____.,Medical doctors who specialize in cutting the body are surgeons.,TRUE,Medical doctors who specialize in cutting the body are anesthesiologists.,FALSE,,,
22,Easy,The first person to set foot on the moon was ____.,The first person to set foot on the moon was Neil Armstrong.,TRUE,The first person to set foot on the moon was John Glenn.,FALSE,,,
23,Easy,The capital of France is ____.,The capital of France is Paris.,TRUE,The capital of France is Marseille.,FALSE,,,
24,Easy,The crime in which a building or property is purposely set on fire is called ____.,The crime in which a building or property is purposely set on fire is called arson.,TRUE,The crime in which a building or property is purposely set on fire is called larceny.,FALSE,,,
25,Easy,The short pleated skirt worn by men in Scotland is a ____.,The short pleated skirt worn by men in Scotland is a kilt.,TRUE,The short pleated skirt worn by men in Scotland is a skort.,FALSE,,,
26,Easy,An inability to sleep is called ____.,An inability to sleep is called insomnia.,TRUE,An inability to sleep is called narcolepsy.,FALSE,,,
27,Easy,Medical doctors who specialize in diseases of the skin are ____.,Medical doctors who specialize in diseases of the skin are dermatologists.,TRUE,Medical doctors who specialize in diseases of the skin are pathologists.,FALSE,,,
28,Easy,The largest ocean on Earth is the ____.,The largest ocean on Earth is the Pacific.,TRUE,The largest ocean on Earth is the Atlantic.,FALSE,,,
29,Easy,The ship that carried the pilgrims to America in 1620 was the ____.,The ship that carried the pilgrims to America in 1620 was the Mayflower.,TRUE,The ship that carried the pilgrims to America in 1620 was the Godspeed.,FALSE,,,
30,Easy,Wimbledon is associated with ____.,Wimbledon is associated with tennis.,TRUE,Wimbledon is associated with cricket.,FALSE,,,
31,Easy,The largest bird on Earth that cannot fly is the ____.,The largest bird on Earth than cannot fly is the ostrich.,TRUE,The largest bird on Earth than cannot fly is the penguin.,FALSE,,,
32,Easy,The lizard that changes its color to match the surroundings is the ____.,The lizard that changes its color to match the surroundings is the chameleon.,TRUE,The lizard that changes its color to match the surroundings is the iguana.,FALSE,,,
33,Easy,The thick layer of fat on a whale is called ____.,The thick layer of fat on a whale is called blubber.,TRUE,The thick layer of fat on a whale is called flubber.,FALSE,,,
34,Easy,Young sheep are called ____.,Young sheep are called lambs.,TRUE,Young sheep are called calfs.,FALSE,,,
35,Easy,The largest planet in the solar system is ____.,The largest planet in the solar system is Jupiter.,TRUE,The largest planet in the solar system is Saturn.,FALSE,,,
36,Easy,The sport in which a rider on horseback hits a ball with his mallet is called ____.,The sport in which a rider on horseback hit a ball with his mallet is called polo.,TRUE,The sport in which a rider on horseback hit a ball with his mallet is called croquet.,FALSE,,,
37,Easy,The legendary one-eyed giant in Greek mythology is the ____.,The legendary one-eyed giant in Greek mythology is the cyclops.,TRUE,The legendary one-eyed giant in Greek mythology is the troll.,FALSE,,,
38,Easy,The spear-like object that is thrown during a track meet is a ____.,The spear-like object that is thrown during a track meet is a javelin.,TRUE,The spear-like object that is thrown during a track meet is a pole vault.,FALSE,,,
39,Easy,The man who rode horseback in 1775 to warn that the British were coming was ____.,The man who rode horseback in 1775 to warn that the British were coming was Paul Revere.,TRUE,The man who rode horseback in 1775 to warn that the British were coming was John Hancock.,FALSE,,,
40,Easy,The Egyptian queen who joined forces with Mark Anthony of Rome was ____.,The Egyptian queen who joined forces with Mark Anthony of Rome was Cleopatra.,TRUE,The Egyptian queen who joined forces with Mark Anthony of Rome was Nefertiti.,FALSE,,,
41,Hard,The furry animal that attacks cobra snakes is the ____.,The furry animal that attacks cobra snakes is the mongoose.,TRUE,The furry animal that attacks cobra snakes is the bear.,FALSE,,,
42,Hard,"The man who wrote ""The Star Spangled Banner"" was ____.","The man who wrote ""The Star Spangled Banner"" was Francis Scott Key.",TRUE,"The man who wrote ""The Star Spangled Banner"" was John Stafford Smith.",FALSE,,,
43,Hard,People who make maps are called ____.,People who make maps are called cartographers.,TRUE,People who make maps are called geographers.,FALSE,,,
44,Hard,The U.S. Naval Academy is located in ____.,The U.S. Naval Academy is located in Annapolis.,TRUE,The U.S. Naval Academy is located in Washington.,FALSE,,,
45,Hard,The largest island in the world excluding Australia is ____.,The largest island in the world excluding Australia is Greenland.,TRUE,The largest island in the world excluding Australia is Hawaii.,FALSE,,,
46,Hard,The leader of the Argonauts was ____.,The leader of the Argonauts was Jason.,TRUE,The leader of the Argonauts was Hercules.,FALSE,,,
47,Hard,People who explore caves are called ____.,People who explore caves are called spelunkers.,TRUE,People who explore caves are called explorers.,FALSE,,,
48,Hard,The illegal move by a baseball pitcher that results in all runners advancing one base is a ____.,The illegal move by a baseball pitcher that results in all runners advancing one base is a balk.,TRUE,The illegal move by a baseball pitcher that results in all runners advancing one base is a ball.,FALSE,,,
49,Hard,"The sport that uses the terms ""stones"" and ""brooms"" is ____.","The sport that uses the terms ""stones"" and ""brooms"" is curling.",TRUE,"The sport that uses the terms ""stones"" and ""brooms"" is broomball.",FALSE,,,
50,Hard,The capital of Delaware is ____.,The capital of Delaware is Dover.,TRUE,The capital of Delaware is Wilmington.,FALSE,,,
51,Hard,Heathrow Airport is located in ____.,Heathrow Airport is located in London.,TRUE,Heathrow Airport is located in Heathrow.,FALSE,,,
52,Hard,The ship that Charles Darwin made his scientific voyage was the ____.,The ship that Charles Darwin made his scientific voyage was the Beagle.,TRUE,The ship that Charles Darwin made his scientific voyage was the Evolve.,FALSE,,,
53,Hard,"The man who wrote ""Canterbury Tales"" was ____.","The man who wrote ""Canterbury Tales"" was Geoffrey Chaucer.",TRUE,"The man who wrote ""Canterbury Tales"" was John Milton.",FALSE,,,
54,Hard,The man who was president directly after James Madison was ____.,The man who was president directly after James Madison was James Monroe.,TRUE,The man who was president directly after James Madison was Thomas Jefferson.,FALSE,,,
55,Hard,The capital of Denmark is ____.,The capital of Denmark is Copenhagen.,TRUE,The capital of Denmark is Amsterdam.,FALSE,,,
56,Hard,Michelangelo's statue of David is located in ____.,Michelangelo's statue of David is located in Florence.,TRUE,Michelangelo's statue of David is located in Rome.,FALSE,,,
57,Hard,"On the ""Andy Griffith Show,"" Andy Griffith was the sherriff of ____.","On the ""Andy Griffith Show,"" Andy Griffith was the sherriff of Mayberry.",TRUE,"On the ""Andy Griffith Show,"" Andy Griffith was the sherriff of Matlock.",FALSE,,,
58,Hard,The unit that measures the six-foot depth of water is a ____.,The unit that measures the six-foot depth of water is a fathom.,TRUE,The unit that measures the six-foot depth of water is a league.,FALSE,,,
59,Hard,"The author who wrote ""Brave New World"" is ____.","The author who wrote ""Brave New World"" is Aldous Huxley.",TRUE,"The author who wrote ""Brave New World"" is George Orwell.",FALSE,,,
